R1,R2,SampleDate,PlotNr,Microhabitat,Surface_Subsurface,Grass_Interspace,Notes,Treatment,,
A23_10SG_S360_L001_R1_001.fastq.gz,A23_10SG_S360_L001_R2_001.fastq.gz,Aug_2023,10,SG,S,G,,N+Water,,
A23_10SI_S362_L001_R1_001.fastq.gz,A23_10SI_S362_L001_R2_001.fastq.gz,Aug_2023,10,SI,S,I,,N+Water,,
A23_10SSG_S361_L001_R1_001.fastq.gz,A23_10SSG_S361_L001_R2_001.fastq.gz,Aug_2023,10,SSG,SS,G,,N+Water,,
A23_10SSI_S363_L001_R1_001.fastq.gz,A23_10SSI_S363_L001_R2_001.fastq.gz,Aug_2023,10,SSI,SS,I,,N+Water,,
A23_11SG_S364_L001_R1_001.fastq.gz,A23_11SG_S364_L001_R2_001.fastq.gz,Aug_2023,11,SG,S,G,,Water,,
A23_11SI_S366_L001_R1_001.fastq.gz,A23_11SI_S366_L001_R2_001.fastq.gz,Aug_2023,11,SI,S,I,,Water,,
A23_11SSG_S365_L001_R1_001.fastq.gz,A23_11SSG_S365_L001_R2_001.fastq.gz,Aug_2023,11,SSG,SS,G,,Water,,
A23_11SSI_S367_L001_R1_001.fastq.gz,A23_11SSI_S367_L001_R2_001.fastq.gz,Aug_2023,11,SSI,SS,I,,Water,,
A23_12SG_S368_L001_R1_001.fastq.gz,A23_12SG_S368_L001_R2_001.fastq.gz,Aug_2023,12,SG,S,G,,Control,,
A23_12SI_S370_L001_R1_001.fastq.gz,A23_12SI_S370_L001_R2_001.fastq.gz,Aug_2023,12,SI,S,I,,Control,,
A23_12SSG_S369_L001_R1_001.fastq.gz,A23_12SSG_S369_L001_R2_001.fastq.gz,Aug_2023,12,SSG,SS,G,,Control,,
A23_12SSI_S371_L001_R1_001.fastq.gz,A23_12SSI_S371_L001_R2_001.fastq.gz,Aug_2023,12,SSI,SS,I,,Control,,
A23_13SG_S372_L001_R1_001.fastq.gz,A23_13SG_S372_L001_R2_001.fastq.gz,Aug_2023,13,SG,S,G,,N,,
A23_13SI_S374_L001_R1_001.fastq.gz,A23_13SI_S374_L001_R2_001.fastq.gz,Aug_2023,13,SI,S,I,,N,,
A23_13SSG_S373_L001_R1_001.fastq.gz,A23_13SSG_S373_L001_R2_001.fastq.gz,Aug_2023,13,SSG,SS,G,,N,,
A23_13SSI_S375_L001_R1_001.fastq.gz,A23_13SSI_S375_L001_R2_001.fastq.gz,Aug_2023,13,SSI,SS,I,,N,,
A23_14SG_S376_L001_R1_001.fastq.gz,A23_14SG_S376_L001_R2_001.fastq.gz,Aug_2023,14,SG,S,G,,Control,,
A23_14SI_S378_L001_R1_001.fastq.gz,A23_14SI_S378_L001_R2_001.fastq.gz,Aug_2023,14,SI,S,I,,Control,,
A23_14SSG_S377_L001_R1_001.fastq.gz,A23_14SSG_S377_L001_R2_001.fastq.gz,Aug_2023,14,SSG,SS,G,,Control,,
A23_14SSI_S379_L001_R1_001.fastq.gz,A23_14SSI_S379_L001_R2_001.fastq.gz,Aug_2023,14,SSI,SS,I,,Control,,
A23_15SG_S380_L001_R1_001.fastq.gz,A23_15SG_S380_L001_R2_001.fastq.gz,Aug_2023,15,SG,S,G,,Water,,
A23_15SI_S382_L001_R1_001.fastq.gz,A23_15SI_S382_L001_R2_001.fastq.gz,Aug_2023,15,SI,S,I,,Water,,
